model_year,fuel_type_code,fuel_type,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l
2003,X,Regular Gasoline,502,300.1972111553785,13.049402390438248,3.3846613545816733
2003,Z,Premium Gasoline,287,295.91289198606273,12.863763066202091,3.194425087108014
2004,D,Diesel,8,185.75,6.8875,1.9
2004,E,E85,23,338.5652173913044,21.169565217391302,5.017391304347826
2004,N,Natural Gas,8,348.0,18.4,5.3
2004,X,Regular Gasoline,517,300.40038684719536,13.056673114119922,3.453965183752418
2004,Z,Premium Gasoline,342,295.64912280701753,12.852923976608187,3.2347953216374266
2005,D,Diesel,14,215.0,7.964285714285714,2.2142857142857144
2005,E,E85,30,338.6666666666667,21.16,4.623333333333333
2005,X,Regular Gasoline,543,292.44567219152856,12.712523020257827,3.4128913443830573
2005,Z,Premium Gasoline,432,299.5740740740741,13.022685185185185,3.363194444444445
2006,D,Diesel,12,196.75,7.291666666666667,1.9000000000000001
2006,E,E85,23,330.82608695652175,20.682608695652174,4.682608695652174
2006,X,Regular Gasoline,544,291.11764705882354,12.65422794117647,3.4443014705882353
2006,Z,Premium Gasoline,389,297.133676092545,12.915167095115681,3.6048843187660666
2007,D,Diesel,5,297.4,11.02,3.0
2007,E,E85,53,318.1132075471698,19.883018867924527,4.775471698113208
2007,X,Regular Gasoline,556,287.3776978417266,12.491546762589929,3.5071942446043165
2007,Z,Premium Gasoline,429,296.9160839160839,12.908391608391607,3.589277389277389
2008,D,Diesel,5,300.2,11.120000000000001,3.0
2008,E,E85,48,310.0833333333333,19.381249999999998,4.754166666666666
2008,X,Regular Gasoline,546,281.5567765567766,12.23956043956044,3.437728937728938
2008,Z,Premium Gasoline,480,297.24375,12.923958333333333,3.6368750000000003
2009,D,Diesel,10,251.3,9.33,2.6
2009,E,E85,71,297.07042253521126,18.567605633802817,4.638028169014085
2009,X,Regular Gasoline,576,274.78125,11.945138888888888,3.4536458333333333
2009,Z,Premium Gasoline,439,301.73348519362185,13.117995444191344,3.7968109339407743
2010,D,Diesel,14,248.21428571428572,9.200000000000001,2.5
2010,E,E85,71,297.50704225352115,18.595774647887325,4.561971830985915
2010,X,Regular Gasoline,537,260.62011173184356,11.328119180633147,3.202420856610801
2010,Z,Premium Gasoline,408,298.546568627451,12.977450980392158,3.8833333333333337
2011,D,Diesel,15,247.26666666666668,9.18,2.533333333333333
2011,E,E85,104,300.28846153846155,18.76826923076923,4.474038461538462
2011,X,Regular Gasoline,545,261.17981651376147,11.353027522935779,3.2939449541284405
2011,Z,Premium Gasoline,421,286.15914489311166,12.4375296912114,3.7577197149643706
2012,D,Diesel,16,244.1875,9.075,2.5
2012,E,E85,104,301.125,18.825,4.4884615384615385
2012,X,Regular Gasoline,539,255.55473098330242,11.108905380333951,3.240630797773655
2012,Z,Premium Gasoline,432,280.6365740740741,12.197685185185184,3.7766203703703702
2013,D,Diesel,19,236.68421052631578,8.789473684210526,2.473684210526316
2013,E,E85,110,296.3727272727273,18.527272727272727,4.473636363636364
2013,X,Regular Gasoline,524,245.75,10.682442748091603,3.086450381679389
2013,Z,Premium Gasoline,429,270.17016317016316,11.735897435897435,3.609090909090909
2014,D,Diesel,26,229.5,8.523076923076923,2.5461538461538464
2014,E,E85,92,291.0869565217391,18.194565217391304,4.441304347826088
2014,X,Regular Gasoline,518,240.6833976833977,10.464478764478764,2.948648648648649
2014,Z,Premium Gasoline,435,268.6896551724138,11.67264367816092,3.626896551724138
2015,D,Diesel,34,221.23529411764707,8.200000000000001,2.5058823529411764
2015,E,E85,64,266.890625,16.6828125,4.0484375
2015,X,Regular Gasoline,533,232.32082551594746,10.100562851782364,2.7943714821763606
2015,Z,Premium Gasoline,501,261.7584830339321,11.373652694610778,3.5181636726546905
2016,D,Diesel,25,245.16,9.104,2.812
2016,E,E85,57,259.89473684210526,15.728070175438596,3.7508771929824563
2016,N,Natural Gas,1,213.0,12.7,3.6
2016,X,Regular Gasoline,566,232.73144876325088,9.936219081272084,2.748763250883392
2016,Z,Premium Gasoline,461,265.9002169197397,11.363340563991324,3.497396963123644
2017,D,Diesel,15,233.53333333333333,8.7,2.4133333333333336
2017,E,E85,49,264.7959183673469,16.059183673469388,3.8857142857142857
2017,X,Regular Gasoline,555,235.75495495495497,10.052252252252252,2.8073873873873874
2017,Z,Premium Gasoline,439,266.7380410022779,11.38883826879271,3.422779043280182
2018,D,Diesel,28,232.42857142857142,8.671428571428573,2.35
2018,E,E85,47,272.6808510638298,16.43617021276596,4.091489361702127
2018,X,Regular Gasoline,524,235.20419847328245,10.030343511450381,2.845419847328244
2018,Z,Premium Gasoline,484,264.91735537190084,11.311983471074381,3.35
2019,D,Diesel,27,244.66666666666666,9.11111111111111,2.474074074074074
2019,E,E85,38,277.86842105263156,16.71315789473684,4.205263157894737
2019,X,Regular Gasoline,500,236.47,10.084,2.8828
2019,Z,Premium Gasoline,491,264.6659877800407,11.310794297352343,3.285132382892057
2020,D,Diesel,20,266.8,9.945,2.95
2020,E,E85,23,293.8695652173913,17.656521739130437,4.556521739130434
2020,X,Regular Gasoline,443,232.67720090293454,9.91941309255079,2.8381489841986456
2020,Z,Premium Gasoline,489,272.47852760736197,11.64601226993865,3.385276073619632
2021,D,Diesel,29,270.9310344827586,10.03793103448276,2.9655172413793105
2021,E,E85,14,287.42857142857144,17.32857142857143,4.2
2021,X,Regular Gasoline,457,237.47483588621444,10.119474835886216,2.9170678336980305
2021,Z,Premium Gasoline,470,279.65531914893614,11.939148936170213,3.4965957446808513
2022,D,Diesel,28,271.57142857142856,10.117857142857144,2.9642857142857144
2022,E,E85,14,294.85714285714283,17.692857142857143,4.457142857142857
2022,X,Regular Gasoline,448,237.98214285714286,10.141964285714286,2.8783482142857144
2022,Z,Premium Gasoline,469,280.06396588486143,11.96460554371002,3.4961620469083154
2023,D,Diesel,20,270.4,10.065000000000001,3.0
2023,E,E85,15,287.2,17.486666666666668,4.78
2023,X,Regular Gasoline,374,236.11229946524065,10.061764705882352,2.8163101604278076
2023,Z,Premium Gasoline,390,273.31538461538463,11.683333333333334,3.4187179487179487
