model_year,transmission_family_code,transmission_family,vehicle_records,average_co2_g_km,average_combined_l_100km,average_engine_size_l
2009,AM,Automated Manual,7,361.42857142857144,15.714285714285714,4.5285714285714285
2009,AS,Automatic with Select Shift,310,294.2193548387097,12.797096774193548,3.6783870967741934
2009,AV,Continuously Variable,42,224.76190476190476,9.77142857142857,3.092857142857143
2009,M,Manual,262,261.6374045801527,11.42442748091603,2.958778625954199
2010,A,Automatic,398,298.52763819095475,13.901507537688442,4.0037688442211055
2010,AM,Automated Manual,8,347.625,15.112499999999999,4.3375
2010,AS,Automatic with Select Shift,307,281.51791530944627,12.24885993485342,3.6003257328990226
2010,AV,Continuously Variable,60,212.43333333333334,9.233333333333333,2.83
2010,M,Manual,257,255.21789883268482,11.124513618677042,2.9560311284046694
2011,A,Automatic,413,303.67554479418885,14.377481840193704,4.144794188861986
2011,AM,Automated Manual,12,303.5,13.200000000000001,3.6
2011,AS,Automatic with Select Shift,348,271.54597701149424,12.000574712643678,3.5551724137931036
2011,AV,Continuously Variable,64,205.6875,8.940625,2.8390625
2011,M,Manual,248,246.1008064516129,10.76008064516129,2.8491935483870967
2012,A,Automatic,399,300.5388471177945,14.267919799498745,4.1343358395989975
2012,AM,Automated Manual,12,288.0833333333333,12.525,3.4
2012,AS,Automatic with Select Shift,375,266.41066666666666,11.8232,3.562933333333333
2012,AV,Continuously Variable,69,201.8840579710145,8.77536231884058,2.794202898550725
2012,M,Manual,236,241.51271186440678,10.498728813559321,2.820762711864407
2013,A,Automatic,350,292.3885714285714,14.151714285714286,4.095142857142857
2013,AM,Automated Manual,61,270.8360655737705,11.76393442622951,3.4704918032786884
2013,AS,Automatic with Select Shift,381,258.1076115485564,11.436220472440944,3.3685039370078744
2013,AV,Continuously Variable,71,199.18309859154928,8.65774647887324,2.7619718309859156
2013,M,Manual,219,230.3013698630137,10.02146118721461,2.649315068493151
2014,A,Automatic,405,275.04197530864195,12.88395061728395,3.7071604938271605
2014,AM,Automated Manual,43,255.6046511627907,11.113953488372092,3.2790697674418605
2014,AS,Automatic with Select Shift,359,263.3342618384401,11.708635097493035,3.532590529247911
2014,AV,Continuously Variable,67,186.0597014925373,8.08955223880597,2.3328358208955224
2014,M,Manual,197,227.99492385786803,9.910659898477158,2.6040609137055837
2015,A,Automatic,219,279.0730593607306,13.137899543378994,4.0059360730593605
2015,AM,Automated Manual,100,256.62,11.115,3.341
2015,AS,Automatic with Select Shift,517,250.26305609284333,10.995938104448742,3.174661508704062
